City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Airai,TL,2022-04-25 17:31:37,-8.9266,125.4092,57.88,77,99,0.92
103,Rosarito,MX,2022-04-25 17:31:38,32.3333,-117.0333,85.24,28,6,8.3
104,Tuktoyaktuk,CA,2022-04-25 17:31:38,69.4541,-133.0374,32.56,92,100,4.0
105,Severo-Kurilsk,RU,2022-04-25 17:31:39,50.6789,156.125,31.42,87,99,18.97
106,Serenje,ZM,2022-04-25 17:31:39,-13.2325,30.2352,61.0,94,11,3.2
107,Cidreira,BR,2022-04-25 17:31:39,-30.1811,-50.2056,75.49,67,96,12.48
108,Saint-Philippe,RE,2022-04-25 17:31:40,-21.3585,55.7679,73.22,83,49,15.99
109,Castro,BR,2022-04-25 17:31:40,-24.7911,-50.0119,77.54,48,0,3.42
110,Avarua,CK,2022-04-25 17:30:35,-21.2078,-159.775,69.85,100,88,2.3
111,Agdas,AZ,2022-04-25 17:31:41,40.65,47.4761,67.66,59,42,6.58
112,Antofagasta,CL,2022-04-25 17:31:41,-23.65,-70.4,65.48,73,78,9.42
113,Hasaki,JP,2022-04-25 17:31:42,35.7333,140.8333,59.4,89,98,5.99
114,Hambantota,LK,2022-04-25 17:31:42,6.1241,81.1185,81.39,80,72,2.3
