City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Gamba,GA,77.7,light rain,-2.65,10.0,
602,Davila,PH,76.98,light rain,18.4726,120.5763,Blue Ridge Beach Resort
608,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
609,Bindi,SL,80.78,overcast clouds,9.9167,-11.45,
610,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
611,Buchanan,LR,80.82,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
612,Porterville,US,77.52,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
614,Iracoubo,GF,78.28,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
615,Barreirinhas,BR,77.36,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
620,Loreto,MX,83.44,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
624,Umm Lajj,SA,79.09,clear sky,25.0213,37.2685,Moon light Furnished Units
625,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
628,Kavieng,PG,83.41,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
631,Hobyo,SO,84.76,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
632,Sao Miguel Do Araguaia,BR,77.99,few clouds,-13.275,-50.1628,Hotel Executivo Palace
638,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
639,Konongo,GH,75.49,overcast clouds,6.6167,-1.2167,Alice Tee Hotel
640,Karratha,AU,79.36,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
644,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
645,Sola,VU,81.97,overcast clouds,-13.8833,167.55,Leumerus Bungalows
646,Ndele,CF,76.66,overcast clouds,8.4109,20.6473,
654,Puerto Narino,CO,77.61,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
657,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
662,Morro Bay,US,81.72,few clouds,35.3658,-120.8499,Inn at Morro Bay
663,Bontang,ID,78.71,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
670,Konibodom,TJ,78.44,overcast clouds,40.2843,70.4426,"Hotel ""Orom"""
675,Mehran,IR,76.84,clear sky,33.1222,46.1646,بوتیک زنانه بهار
678,Aden,YE,84.49,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
681,Puerto Plata,DO,80.44,broken clouds,19.7934,-70.6884,Be Live Collection Marien
684,Boyolangu,ID,75.63,overcast clouds,-8.1181,111.8935,Yos ega cv
686,Sisophon,KH,75.63,moderate rain,13.5859,102.9737,Pyramid Hotel
688,Galle,LK,81.3,overcast clouds,6.0367,80.217,Amangalla
689,Songadh,IN,81.45,clear sky,21.1667,73.5667,SPOT ON 61520 Shivam Guest House
699,Belmonte,BR,76.24,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
700,Assare,BR,78.53,broken clouds,-6.8744,-39.875,José Xavier de Andrade
701,Orocue,CO,83.88,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
