City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Skegness,GB,53.1436,0.3363,53.67,88,100,6.38,overcast clouds
209,Sillanwali,PK,31.8261,72.5398,89.19,16,0,7.16,clear sky
210,Paita,PE,-5.0892,-81.1144,70.16,78,57,15.48,broken clouds
211,Biltine,TD,14.5333,20.9167,89.46,16,13,3.83,few clouds
212,Padre Bernardo,BR,-15.35,-48.5,73.11,41,21,3.44,few clouds
213,Magnitogorsk,RU,53.4186,59.0472,36.43,64,75,11.18,broken clouds
214,Zaysan,KZ,47.4667,84.8667,61.74,23,76,6.46,broken clouds
215,Kortkeros,RU,61.8106,51.5806,30.2,80,95,4.7,overcast clouds
216,Wewak,PG,-3.5534,143.6268,78.17,90,99,5.97,overcast clouds
217,Sinnamary,GF,5.3833,-52.95,78.12,83,43,11.18,scattered clouds
218,Oriximina,BR,-1.7656,-55.8661,76.66,92,45,3.89,heavy intensity rain
219,Upernavik,GL,72.7868,-56.1549,7.09,83,71,3.15,broken clouds
220,Puri,IN,19.8,85.85,82.92,88,71,18.16,broken clouds
221,Dalvik,IS,65.9702,-18.5286,30.13,76,100,6.87,overcast clouds
222,Alice Springs,AU,-23.7,133.8833,56.75,67,25,6.91,scattered clouds
223,Bella Vista,US,36.4295,-94.2316,75.72,35,0,5.75,clear sky
224,Altea,ES,38.5989,-0.0514,65.64,73,81,1.01,broken clouds
225,Faya,SA,18.3851,42.4509,66.31,53,5,2.26,clear sky
226,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
227,Loandjili,CG,-4.7561,11.8578,77.77,92,98,4.85,light rain
228,Narsaq,GL,60.9167,-46.05,46.62,76,57,3.27,broken clouds
229,Cap Malheureux,MU,-19.9842,57.6142,74.46,82,4,1.99,clear sky
230,Phonhong,LA,18.5007,102.4166,70.88,90,99,1.72,overcast clouds
231,Westport,US,41.1415,-73.3579,68.61,45,0,10.36,clear sky
232,Pemangkat,ID,1.1667,108.9667,78.55,88,98,5.88,overcast clouds
233,Mogadishu,SO,2.0371,45.3438,82.9,78,100,14.27,light rain
234,Takoradi,GH,4.8845,-1.7554,80.49,83,82,7.25,broken clouds
235,Fairbanks,US,64.8378,-147.7164,54.3,35,0,8.05,clear sky
236,Tsabong,BW,-26.0217,22.401,64.72,34,0,9.35,clear sky
237,Jining,CN,35.405,116.5814,51.91,36,0,2.24,clear sky
238,Solnechnyy,RU,50.7214,136.6319,34.07,84,89,4.76,overcast clouds
239,Mahebourg,MU,-20.4081,57.7,74.25,94,40,3.44,scattered clouds
240,Sorland,NO,67.667,12.6934,40.26,73,100,23.49,light rain
241,New Norfolk,AU,-42.7826,147.0587,58.87,80,79,1.01,broken clouds
242,Ketchikan,US,55.3422,-131.6461,46.38,93,100,12.66,heavy intensity rain
243,Kendari,ID,-3.945,122.4989,74.75,95,19,3.69,few clouds
244,Vestmannaeyjar,IS,63.4427,-20.2734,44.73,59,100,11.65,overcast clouds
245,Azare,NG,11.6765,10.1948,89.58,31,94,6.6,overcast clouds
246,Corowa,AU,-36.0333,146.3833,51.98,92,1,2.89,clear sky
247,Novovarshavka,RU,54.1721,74.6946,45.88,60,52,9.35,broken clouds
248,Urcos,PE,-13.6861,-71.6228,62.49,67,57,5.17,broken clouds
249,Caceres,ES,39.522,-6.3748,54.97,69,15,8.95,few clouds
250,Cayenne,GF,4.9333,-52.3333,82.09,1,40,3.44,scattered clouds
